# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000239.1	945	1597	-							FHD68_RS18485	653		partial;old_locus_tag=FHD68_18485
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000239.1	945	1597	-	WP_139086570.1	WP_139086570.1		ATPase			FHD68_RS18485	653	216	partial
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000240.1	1	233	-							FHD68_RS18490	233		partial;old_locus_tag=FHD68_18490
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000240.1	1	233	-	WP_139086572.1	WP_139086572.1		hypothetical protein			FHD68_RS18490	233	77	partial
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000240.1	807	998	-							FHD68_RS18495	192		old_locus_tag=FHD68_18495
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000240.1	807	998	-	WP_139086574.1	WP_139086574.1		hypothetical protein			FHD68_RS18495	192	63	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000241.1	310	1389	-							FHD68_RS18500	1080		old_locus_tag=FHD68_18500
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000241.1	310	1389	-	WP_139086576.1	WP_139086576.1		IS110 family transposase			FHD68_RS18500	1080	359	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000242.1	243	1160	-							FHD68_RS18505	918		old_locus_tag=FHD68_18505
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000242.1	243	1160	-	WP_139086578.1	WP_139086578.1		pseudouridine-5'-phosphate glycosidase			FHD68_RS18505	918	305	
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000242.1	1157	1414	-							FHD68_RS18510	258		partial;pseudo;old_locus_tag=FHD68_18510
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000242.1	1157	1414	-				kinase			FHD68_RS18510	258		partial;pseudo
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	1	201	-							FHD68_RS05640	201		partial;pseudo;old_locus_tag=FHD68_05645
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	1	201	-				L-seryl-tRNA(Sec) selenium transferase			FHD68_RS05640	201		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	201	1115	-					fdhE		FHD68_RS05645	915		old_locus_tag=FHD68_05650
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	201	1115	-	WP_045983440.1	WP_045983440.1		formate dehydrogenase accessory protein FdhE	fdhE		FHD68_RS05645	915	304	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	1171	1860	-							FHD68_RS05650	690		old_locus_tag=FHD68_05655
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	1171	1860	-	WP_045983439.1	WP_045983439.1		formate dehydrogenase subunit gamma			FHD68_RS05650	690	229	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	1860	2846	-					fdxH		FHD68_RS05655	987		old_locus_tag=FHD68_05660
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	1860	2846	-	WP_139085360.1	WP_139085360.1		formate dehydrogenase subunit beta	fdxH		FHD68_RS05655	987	328	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	2852	5932	-					fdnG		FHD68_RS05660	3081		old_locus_tag=FHD68_05665
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	2852	5932	-	WP_139085352.1	WP_139085352.1		formate dehydrogenase-N subunit alpha	fdnG		FHD68_RS05660	3081	1026	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	6192	7046	+							FHD68_RS05665	855		old_locus_tag=FHD68_05670
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	6192	7046	+	WP_127899560.1	WP_127899560.1		putative selenate ABC transporter substrate-binding protein			FHD68_RS05665	855	284	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	7050	7706	+							FHD68_RS05670	657		old_locus_tag=FHD68_05675
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	7050	7706	+	WP_127899489.1	WP_127899489.1		ATP-binding cassette domain-containing protein			FHD68_RS05670	657	218	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	7699	9210	+							FHD68_RS05675	1512		old_locus_tag=FHD68_05680
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	7699	9210	+	WP_127899488.1	WP_127899488.1		ABC transporter permease			FHD68_RS05675	1512	503	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	9207	9824	-							FHD68_RS05680	618		old_locus_tag=FHD68_05685
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	9207	9824	-	WP_127899487.1	WP_127899487.1		hypothetical protein			FHD68_RS05680	618	205	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	9827	10036	-							FHD68_RS05685	210		old_locus_tag=FHD68_05690
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	9827	10036	-	WP_139085354.1	WP_139085354.1		hypothetical protein			FHD68_RS05685	210	69	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	10172	10789	+							FHD68_RS05690	618		old_locus_tag=FHD68_05695
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	10172	10789	+	WP_127899486.1	WP_127899486.1		LuxR family transcriptional regulator			FHD68_RS05690	618	205	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	10793	12241	-					xylB		FHD68_RS05695	1449		old_locus_tag=FHD68_05700
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	10793	12241	-	WP_127899485.1	WP_127899485.1		xylulokinase	xylB		FHD68_RS05695	1449	482	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	12360	13283	+							FHD68_RS05700	924		old_locus_tag=FHD68_05705
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	12360	13283	+	WP_127899484.1	WP_127899484.1		ornithine cyclodeaminase			FHD68_RS05700	924	307	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	13280	14497	-					fahA		FHD68_RS05705	1218		old_locus_tag=FHD68_05710
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	13280	14497	-	WP_127899483.1	WP_127899483.1		fumarylacetoacetase	fahA		FHD68_RS05705	1218	405	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	14494	15855	-							FHD68_RS05710	1362		old_locus_tag=FHD68_05715
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	14494	15855	-	WP_127899482.1	WP_127899482.1		homogentisate 1,2-dioxygenase			FHD68_RS05710	1362	453	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	15982	16479	+							FHD68_RS05715	498		old_locus_tag=FHD68_05720
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	15982	16479	+	WP_127899559.1	WP_127899559.1		GNAT family N-acetyltransferase			FHD68_RS05715	498	165	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	16527	17537	-							FHD68_RS05720	1011		old_locus_tag=FHD68_05725
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	16527	17537	-	WP_139085362.1	WP_139085362.1		IS30 family transposase			FHD68_RS05720	1011	336	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	17646	18119	-							FHD68_RS05725	474		old_locus_tag=FHD68_05730
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	17646	18119	-	WP_127899558.1	WP_127899558.1		Lrp/AsnC family transcriptional regulator			FHD68_RS05725	474	157	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	18193	18771	+							FHD68_RS05730	579		old_locus_tag=FHD68_05735
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	18193	18771	+	WP_127899481.1	WP_127899481.1		LysE family translocator			FHD68_RS05730	579	192	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	18819	19598	-							FHD68_RS05735	780		old_locus_tag=FHD68_05740
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	18819	19598	-	WP_127899480.1	WP_127899480.1		DUF4394 domain-containing protein			FHD68_RS05735	780	259	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	19801	20364	+							FHD68_RS05740	564		old_locus_tag=FHD68_05745
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	19801	20364	+	WP_127899479.1	WP_127899479.1		sigma-70 family RNA polymerase sigma factor			FHD68_RS05740	564	187	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	20361	21098	+							FHD68_RS05745	738		old_locus_tag=FHD68_05750
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	20361	21098	+	WP_127899478.1	WP_127899478.1		anti-sigma factor			FHD68_RS05745	738	245	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	21163	22602	+							FHD68_RS05750	1440		old_locus_tag=FHD68_05755
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	21163	22602	+	WP_127899477.1	WP_127899477.1		dihydrolipoyl dehydrogenase			FHD68_RS05750	1440	479	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	22612	23385	+							FHD68_RS05755	774		old_locus_tag=FHD68_05760
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	22612	23385	+	WP_127899476.1	WP_127899476.1		hypothetical protein			FHD68_RS05755	774	257	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	23438	24430	+							FHD68_RS05760	993		old_locus_tag=FHD68_05765
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	23438	24430	+	WP_127899475.1	WP_127899475.1		galactose mutarotase			FHD68_RS05760	993	330	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	24427	26622	-							FHD68_RS05765	2196		old_locus_tag=FHD68_05770
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	24427	26622	-	WP_127899474.1	WP_127899474.1		glycoside hydrolase family 2 protein			FHD68_RS05765	2196	731	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	26625	27773	-					dgoD		FHD68_RS05770	1149		old_locus_tag=FHD68_05775
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	26625	27773	-	WP_127899473.1	WP_127899473.1		galactonate dehydratase	dgoD		FHD68_RS05770	1149	382	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	27775	28677	-							FHD68_RS05775	903		old_locus_tag=FHD68_05780
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	27775	28677	-	WP_127899472.1	WP_127899472.1		Gfo/Idh/MocA family oxidoreductase			FHD68_RS05775	903	300	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	28674	29729	-					ugpC		FHD68_RS05780	1056		old_locus_tag=FHD68_05785
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	28674	29729	-	WP_127899471.1	WP_127899471.1		sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	ugpC		FHD68_RS05780	1056	351	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	29737	30528	-							FHD68_RS05785	792		old_locus_tag=FHD68_05790
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	29737	30528	-	WP_127899557.1	WP_127899557.1		IclR family transcriptional regulator			FHD68_RS05785	792	263	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	30634	31869	+							FHD68_RS05790	1236		old_locus_tag=FHD68_05795
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	30634	31869	+	WP_139085356.1	WP_139085356.1		extracellular solute-binding protein			FHD68_RS05790	1236	411	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	31930	32835	+							FHD68_RS05795	906		old_locus_tag=FHD68_05800
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	31930	32835	+	WP_127899470.1	WP_127899470.1		sugar ABC transporter permease			FHD68_RS05795	906	301	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	32839	33684	+							FHD68_RS05800	846		old_locus_tag=FHD68_05805
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	32839	33684	+	WP_127899469.1	WP_127899469.1		carbohydrate ABC transporter permease			FHD68_RS05800	846	281	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	33681	33877	+							FHD68_RS05805	197		partial;old_locus_tag=FHD68_05810
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000023.1	33681	33877	+	WP_139085358.1	WP_139085358.1		hypothetical protein			FHD68_RS05805	197	66	partial
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000243.1	1	383	-							FHD68_RS18515	383		partial;pseudo;old_locus_tag=FHD68_18515
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000243.1	1	383	-				tetraacyldisaccharide 4'-kinase			FHD68_RS18515	383		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000243.1	386	1409	-							FHD68_RS18520	1024		partial;old_locus_tag=FHD68_18520
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000243.1	386	1409	-	WP_139086580.1	WP_139086580.1		3-deoxy-D-manno-octulosonic acid transferase			FHD68_RS18520	1024	340	partial
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000244.1	160	429	-							FHD68_RS18525	270		old_locus_tag=FHD68_18525
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000244.1	160	429	-	WP_139086582.1	WP_139086582.1		hypothetical protein			FHD68_RS18525	270	89	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000244.1	426	641	-							FHD68_RS18530	216		old_locus_tag=FHD68_18530
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000244.1	426	641	-	WP_139086584.1	WP_139086584.1		hypothetical protein			FHD68_RS18530	216	71	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000244.1	862	1347	+							FHD68_RS18535	486		old_locus_tag=FHD68_18535
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000244.1	862	1347	+	WP_139086586.1	WP_139086586.1		hypothetical protein			FHD68_RS18535	486	161	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000245.1	167	1165	+							FHD68_RS18540	999		old_locus_tag=FHD68_18540
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000245.1	167	1165	+	WP_139086588.1	WP_139086588.1		hypothetical protein			FHD68_RS18540	999	332	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000246.1	292	1341	+							FHD68_RS18545	1050		old_locus_tag=FHD68_18545
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000246.1	292	1341	+	WP_139086590.1	WP_139086590.1		hypothetical protein			FHD68_RS18545	1050	349	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000247.1	464	682	+							FHD68_RS18550	219		old_locus_tag=FHD68_18550
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000247.1	464	682	+	WP_139086592.1	WP_139086592.1		hypothetical protein			FHD68_RS18550	219	72	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000247.1	775	1371	-							FHD68_RS18555	597		partial;old_locus_tag=FHD68_18555
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000247.1	775	1371	-	WP_139086594.1	WP_139086594.1		IS3 family transposase			FHD68_RS18555	597	198	partial
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000248.1	1	204	-							FHD68_RS18560	204		partial;pseudo
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000248.1	1	204	-				hypothetical protein			FHD68_RS18560	204		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000248.1	358	849	+							FHD68_RS18565	492		old_locus_tag=FHD68_18560
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000248.1	358	849	+	WP_127899556.1	WP_127899556.1		sigma-70 family RNA polymerase sigma factor			FHD68_RS18565	492	163	
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000248.1	874	1305	+							FHD68_RS18570	432		partial;pseudo;old_locus_tag=FHD68_18565
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000248.1	874	1305	+				anti-sigma factor			FHD68_RS18570	432		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000249.1	146	1299	-					glf		FHD68_RS18575	1154		partial;old_locus_tag=FHD68_18570
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000249.1	146	1299	-	WP_139086596.1	WP_139086596.1		UDP-galactopyranose mutase	glf		FHD68_RS18575	1154	383	partial
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000250.1	45	770	-							FHD68_RS18580	726		old_locus_tag=FHD68_18575
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000250.1	45	770	-	WP_139086598.1	WP_139086598.1		WYL domain-containing protein			FHD68_RS18580	726	241	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000250.1	858	1253	+							FHD68_RS18585	396		old_locus_tag=FHD68_18580
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000250.1	858	1253	+	WP_139086600.1	WP_139086600.1		RidA family protein			FHD68_RS18585	396	131	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000251.1	385	996	+							FHD68_RS18590	612		old_locus_tag=FHD68_18585
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000251.1	385	996	+	WP_139086602.1	WP_139086602.1		sugar transferase			FHD68_RS18590	612	203	
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000252.1	1	218	-							FHD68_RS18595	218		partial;pseudo;old_locus_tag=FHD68_18590
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000252.1	1	218	-				hypothetical protein			FHD68_RS18595	218		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000252.1	289	1289	-							FHD68_RS18600	1001		partial;old_locus_tag=FHD68_18595
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000252.1	289	1289	-	WP_139086604.1	WP_139086604.1		protease			FHD68_RS18600	1001	332	partial
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	1	528	-							FHD68_RS05810	528		partial;pseudo;old_locus_tag=FHD68_05815
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	1	528	-				phosphotransferase family protein			FHD68_RS05810	528		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	525	1733	-							FHD68_RS05815	1209		old_locus_tag=FHD68_05820
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	525	1733	-	WP_127899379.1	WP_127899379.1		acyl-CoA dehydrogenase			FHD68_RS05815	1209	402	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	1835	3730	-							FHD68_RS05820	1896		old_locus_tag=FHD68_05825
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	1835	3730	-	WP_127899380.1	WP_127899380.1		potassium transporter Kup			FHD68_RS05820	1896	631	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	4092	5372	-					guaD		FHD68_RS05825	1281		old_locus_tag=FHD68_05830
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	4092	5372	-	WP_127898667.1	WP_127898667.1		guanine deaminase	guaD		FHD68_RS05825	1281	426	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	5360	6091	-					xdhC		FHD68_RS05830	732		old_locus_tag=FHD68_05835
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	5360	6091	-	WP_127898668.1	WP_127898668.1		xanthine dehydrogenase accessory protein XdhC	xdhC		FHD68_RS05830	732	243	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	6088	8397	-					xdhB		FHD68_RS05835	2310		old_locus_tag=FHD68_05840
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	6088	8397	-	WP_127898669.1	WP_127898669.1		xanthine dehydrogenase molybdopterin binding subunit	xdhB		FHD68_RS05835	2310	769	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	8401	9849	-					xdhA		FHD68_RS05840	1449		old_locus_tag=FHD68_05845
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	8401	9849	-	WP_127898670.1	WP_127898670.1		xanthine dehydrogenase small subunit	xdhA		FHD68_RS05840	1449	482	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	10146	11396	-							FHD68_RS05845	1251		old_locus_tag=FHD68_05850
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	10146	11396	-	WP_127899381.1	WP_127899381.1		urate hydroxylase PuuD			FHD68_RS05845	1251	416	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	11401	11751	-					uraH		FHD68_RS05850	351		old_locus_tag=FHD68_05855
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	11401	11751	-	WP_045981279.1	WP_045981279.1		hydroxyisourate hydrolase	uraH		FHD68_RS05850	351	116	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	11859	13337	-							FHD68_RS05855	1479		old_locus_tag=FHD68_05860
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	11859	13337	-	WP_045999026.1	WP_045999026.1		purine permease			FHD68_RS05855	1479	492	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	13606	14406	+							FHD68_RS05860	801		old_locus_tag=FHD68_05865
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	13606	14406	+	WP_127898671.1	WP_127898671.1		IclR family transcriptional regulator			FHD68_RS05860	801	266	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	14414	15715	-							FHD68_RS05865	1302		old_locus_tag=FHD68_05870
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	14414	15715	-	WP_127898672.1	WP_127898672.1		NCS2 family permease			FHD68_RS05865	1302	433	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	15934	17340	+					puuE		FHD68_RS05870	1407		old_locus_tag=FHD68_05875
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	15934	17340	+	WP_127898673.1	WP_127898673.1		allantoinase PuuE	puuE		FHD68_RS05870	1407	468	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	17337	18236	+							FHD68_RS05875	900		old_locus_tag=FHD68_05880
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	17337	18236	+	WP_084697227.1	WP_084697227.1		(S)-ureidoglycine aminohydrolase			FHD68_RS05875	900	299	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000024.1	18253	18582	-							FHD68_RS05880	330		old_locus_tag=FHD68_05885
